latitude,longitude,date,age,gender,time_of_the_day,severity,formatted_date,week_number
40.59490913,-73.95538421,1/1/2018,any,diverse,morning,8,1/1/2018,1
40.59455292,-73.95701199,1/1/2018,any,enby,morning,8,1/1/2018,1
40.80391599,-73.96702313,1/1/2018,any,enby,night,8,1/1/2018,1
40.80115094,-73.96334033,1/1/2018,any,enby,night,8,1/1/2018,1
40.80027985,-73.96029599,1/1/2018,any,enby,night,8,1/1/2018,1
40.79824984,-73.96360559,1/1/2018,any,enby,night,8,1/1/2018,1
40.70531209,-73.79529351,1/1/2018,any,diverse,afternoon,8,1/1/2018,1
40.70531209,-73.79529351,1/1/2018,any,diverse,afternoon,8,1/1/2018,1
40.70531209,-73.79529351,1/1/2018,any,diverse,afternoon,8,1/1/2018,1
40.70475596,-73.79434665,1/1/2018,any,diverse,afternoon,8,1/1/2018,1
40.70659994,-73.79560696,1/1/2018,any,diverse,afternoon,8,1/1/2018,1
40.6740068,-73.75408644,1/1/2018,any,enby,night,8,1/1/2018,1
40.80115094,-73.96334033,1/1/2018,any,diverse,night,8,1/1/2018,1
40.79302609,-73.94215618,1/1/2018,any,enby,afternoon,8,1/1/2018,1
40.79060105,-73.93936309,1/1/2018,any,enby,afternoon,8,1/1/2018,1
40.84670562,-73.8647214,1/1/2018,adult,male,night,8,1/1/2018,1
40.79136969,-73.9511464,1/1/2018,any,enby,afternoon,8,1/1/2018,1
40.79584721,-73.94691026,1/1/2018,any,enby,afternoon,26,1/1/2018,1
40.58376484,-73.94792129,1/1/2018,any,diverse,morning,8,1/1/2018,1
40.78926022,-73.94771,1/1/2018,teen,female,night,8,1/1/2018,1
40.79451509,-73.96632353,1/1/2018,any,enby,afternoon,8,1/1/2018,1
40.79824984,-73.96360559,1/1/2018,any,diverse,night,9,1/1/2018,1
40.71201851,-73.94397231,1/1/2018,any,diverse,night,8,1/1/2018,1
40.6036963,-73.74911277,1/1/2018,adult,male,night,8,1/1/2018,1
